ID,Seconds Elapsed,Time,One,Two,Three,Four,,,c2,,,,,,
241,1200.1,00:20:00,328,302,176,262,,,,,,,,,
242,1205.1,00:20:05,328,302,176,262,,,,,,,,,
243,1210.1,00:20:10,328,302,176,262,,,,,,,,,
244,1215.1,00:20:15,328,302,176,262,,,,,,,,,
245,1220.1,00:20:20,328,302,176,262,,,,,,,,,
246,1225.1,00:20:25,328,302,176,262,,,,,,,,,
247,1230.1,00:20:30,328,302,176,262,,,,,,,,,
248,1235.1,00:20:35,328,302,176,262,,,,,,,,,
249,1240.1,00:20:40,328,302,176,262,,,,,,,,,
250,1245.1,00:20:45,328,302,176,262,,,,,,,,,
251,1250.1,00:20:50,328,302,176,262,,,,,,,,,
252,1255.1,00:20:55,328,302,176,262,,,,,,,,,
253,1260.1,00:21:00,328,302,176,262,,,,,,,,,
254,1265.1,00:21:05,328,302,176,262,,,,,,,,,
255,1270.1,00:21:10,328,302,176,262,,,,,,,,,
256,1275.1,00:21:15,328,302,176,262,,,,,,,,,
257,1280.1,00:21:20,328,302,176,262,,,,,,,,,
258,1285.1,00:21:25,328,302,176,262,,,,,,,,,
259,1290.1,00:21:30,328,302,176,262,,,,,,,,,
260,1295.1,00:21:35,328,302,176,262,,,,,,,,,
261,1300.1,00:21:40,328,302,176,262,,,,,,,,,
262,1305.1,00:21:45,328,302,176,262,,,,,,,,,
263,1310.1,00:21:50,328,302,176,262,,,,,,,,,
264,1315.1,00:21:55,328,302,176,262,,,,,,,,,
265,1320.1,00:22:00,328,302,176,262,,,,,,,,,
266,1325.1,00:22:05,328,302,176,262,,,,,,,,,
267,1330.1,00:22:10,328,302,176,262,,,,,,,,,
268,1335.1,00:22:15,328,302,176,262,,,,,,,,,
269,1340.1,00:22:20,328,302,176,262,,,,,,,,,
270,1345.1,00:22:25,328,302,176,262,,,,,,,,,
271,1350.1,00:22:30,328,302,176,262,,,,,,,,,
272,1355.1,00:22:35,328,302,176,262,,,,,,,,,
273,1360.1,00:22:40,328,302,176,262,,,,,,,,,
274,1365.1,00:22:45,328,302,176,262,,,,,,,,,
275,1370.1,00:22:50,328,302,176,262,,,,,,,,,
276,1375.1,00:22:55,328,302,176,262,,,,,,,,,
277,1380.1,00:23:00,328,302,176,262,,,,,,,,,
278,1385.1,00:23:05,328,302,176,262,,,,,,,,,
279,1390.1,00:23:10,328,302,176,262,,,,,,,,,
280,1395.1,00:23:15,328,302,176,262,,,,,,,,,
281,1400.1,00:23:20,328,302,176,262,,,,,,,,,
282,1405.1,00:23:25,328,302,176,262,,,,,,,,,
283,1410.1,00:23:30,328,302,176,262,,,,,,,,,
284,1415.1,00:23:35,328,302,176,262,,,,,,,,,
285,1420.1,00:23:40,328,302,176,262,,,,,,,,,
