ID,Time,Seconds Elapsed,One,Two,Three,Four,,,,,c5,,,,,,
151,00:12:30,750.1,453,406,270,346,,,,,,,,,,,
152,00:12:35,755.1,453,406,270,346,,,,,,,,,,,
153,00:12:40,760.1,453,406,270,346,,,,,,,,,,,
154,00:12:45,765.1,453,406,270,346,,,,,,,,,,,
155,00:12:50,770.1,453,406,270,346,,,,,,,,,,,
156,00:12:55,775.1,453,406,270,346,,,,,,,,,,,
157,00:13:00,780.1,453,406,270,346,,,,,,,,,,,
158,00:13:05,785.1,453,406,270,346,,,,,,,,,,,
159,00:13:10,790.1,453,406,270,346,,,,,,,,,,,
160,00:13:15,795.1,453,406,270,346,,,,,,,,,,,
161,00:13:20,800.1,453,406,270,346,,,,,,,,,,,
162,00:13:25,805.1,453,406,270,346,,,,,,,,,,,
163,00:13:30,810.1,453,406,270,346,,,,,,,,,,,
164,00:13:35,815.1,453,406,270,346,,,,,,,,,,,
165,00:13:40,820.1,453,406,270,346,,,,,,,,,,,
166,00:13:45,825.1,453,406,270,346,,,,,,,,,,,
167,00:13:50,830.1,453,406,270,346,,,,,,,,,,,
168,00:13:55,835.1,453,406,270,346,,,,,,,,,,,
169,00:14:00,840.1,453,406,270,346,,,,,,,,,,,
170,00:14:05,845.1,453,406,270,346,,,,,,,,,,,
171,00:14:10,850.1,453,406,270,346,,,,,,,,,,,
172,00:14:15,855.1,453,406,270,346,,,,,,,,,,,
173,00:14:20,860.1,453,406,270,346,,,,,,,,,,,
174,00:14:25,865.1,453,406,270,346,,,,,,,,,,,
175,00:14:30,870.1,453,406,270,346,,,,,,,,,,,
176,00:14:35,875.1,453,406,270,346,,,,,,,,,,,
177,00:14:40,880.1,453,406,270,346,,,,,,,,,,,
178,00:14:45,885.1,453,406,269,335,,,,,,,,,,,
179,00:14:50,890.1,453,406,270,336,,,,,,,,,,,
180,00:14:55,895.1,453,406,270,336,,,,,,,,,,,
181,00:15:00,900.1,453,406,270,336,,,,,,,,,,,
182,00:15:05,905.1,453,406,270,335,,,,,,,,,,,
183,00:15:10,910.1,453,406,270,336,,,,,,,,,,,
184,00:15:15,915.1,453,406,270,335,,,,,,,,,,,
185,00:15:20,920.1,453,406,270,336,,,,,,,,,,,
186,00:15:25,925.1,453,396,270,335,,,,,,,,,,,
187,00:15:30,930.1,453,396,270,335,,,,,,,,,,,
188,00:15:35,935.1,453,396,270,335,,,,,,,,,,,
189,00:15:40,940.1,453,396,270,335,,,,,,,,,,,
190,00:15:45,945.1,453,396,270,335,,,,,,,,,,,
191,00:15:50,950.1,453,396,270,335,,,,,,,,,,,
192,00:15:55,955.1,453,396,270,336,,,,,,,,,,,
193,00:16:00,960.1,453,396,270,335,,,,,,,,,,,
194,00:16:05,965.1,453,396,270,336,,,,,,,,,,,
195,00:16:10,970.1,453,396,270,335,,,,,,,,,,,
196,00:16:15,975.1,453,396,270,336,,,,,,,,,,,
197,00:16:20,980.1,453,396,270,335,,,,,,,,,,,
198,00:16:25,985.1,453,396,270,336,,,,,,,,,,,
199,00:16:30,990.1,453,396,270,336,,,,,,,,,,,
200,00:16:35,995.1,453,396,270,336,,,,,,,,,,,
201,00:16:40,1000.1,453,396,270,336,,,,,,,,,,,
202,00:16:45,1005.1,453,396,270,336,,,,,,,,,,,
203,00:16:50,1010.1,453,396,270,336,,,,,,,,,,,
204,00:16:55,1015.1,453,396,270,336,,,,,,,,,,,
205,00:17:00,1020.1,453,396,270,336,,,,,,,,,,,
206,00:17:05,1025.1,453,396,270,335,,,,,,,,,,,
207,00:17:10,1030.1,453,396,270,336,,,,,,,,,,,
208,00:17:15,1035.1,453,396,270,335,,,,,,,,,,,
209,00:17:20,1040.1,453,396,270,336,,,,,,,,,,,
210,00:17:25,1045.1,453,396,270,336,,,,,,,,,,,
211,00:17:30,1050.1,453,396,270,336,,,,,,,,,,,
212,00:17:35,1055.1,453,396,270,336,,,,,,,,,,,
213,00:17:40,1060.1,453,396,270,336,,,,,,,,,,,
214,00:17:45,1065.1,453,396,270,336,,,,,,,,,,,
215,00:17:50,1070.1,453,396,270,336,,,,,,,,,,,
216,00:17:55,1075.1,453,385,270,336,,,,,,,,,,,
217,00:18:00,1080.1,453,385,270,336,,,,,,,,,,,
218,00:18:05,1085.1,453,385,270,336,,,,,,,,,,,
