ID,Time,Seconds Elapsed,One,Two,Three,Four,,,Test C1 - oVernight,,,,,,
193,00:16:00,960.1,349,312,186,273,,,,,,,,,
194,00:16:05,965.1,349,312,186,273,,,,,,,,,
195,00:16:10,970.1,349,312,186,273,,,,,,,,,
196,00:16:15,975.1,349,312,186,273,,,,,,,,,
197,00:16:20,980.1,349,312,186,273,,,,,,,,,
198,00:16:25,985.1,349,312,186,273,,,,,,,,,
199,00:16:30,990.1,349,312,186,273,,,,,,,,,
200,00:16:35,995.1,349,312,186,273,,,,,,,,,
201,00:16:40,1000.1,349,312,186,273,,,,,,,,,
202,00:16:45,1005.1,349,312,186,273,,,,,,,,,
203,00:16:50,1010.1,349,312,186,273,,,,,,,,,
204,00:16:55,1015.1,349,312,186,273,,,,,,,,,
205,00:17:00,1020.1,349,312,186,273,,,,,,,,,
206,00:17:05,1025.1,349,312,186,273,,,,,,,,,
207,00:17:10,1030.1,349,312,186,273,,,,,,,,,
208,00:17:15,1035.1,349,312,186,273,,,,,,,,,
209,00:17:20,1040.1,349,312,186,273,,,,,,,,,
210,00:17:25,1045.1,349,312,186,273,,,,,,,,,
211,00:17:30,1050.1,349,312,186,273,,,,,,,,,
212,00:17:35,1055.1,349,312,186,273,,,,,,,,,
213,00:17:40,1060.1,349,312,186,273,,,,,,,,,
214,00:17:45,1065.1,349,312,186,273,,,,,,,,,
215,00:17:50,1070.1,349,312,186,273,,,,,,,,,
216,00:17:55,1075.1,349,312,186,273,,,,,,,,,
217,00:18:00,1080.1,349,312,186,273,,,,,,,,,
218,00:18:05,1085.1,349,312,186,273,,,,,,,,,
219,00:18:10,1090.1,349,312,186,273,,,,,,,,,
220,00:18:15,1095.1,349,312,186,273,,,,,,,,,
221,00:18:20,1100.1,349,312,186,273,,,,,,,,,
222,00:18:25,1105.1,349,312,186,273,,,,,,,,,
223,00:18:30,1110.1,349,312,186,273,,,,,,,,,
224,00:18:35,1115.1,349,312,186,273,,,,,,,,,
225,00:18:40,1120.1,349,312,186,273,,,,,,,,,
226,00:18:45,1125.1,349,312,186,273,,,,,,,,,
227,00:18:50,1130.1,349,312,186,273,,,,,,,,,
228,00:18:55,1135.1,349,312,186,273,,,,,,,,,
229,00:19:00,1140.1,349,312,186,273,,,,,,,,,
230,00:19:05,1145.1,349,312,186,273,,,,,,,,,
231,00:19:10,1150.1,349,312,186,273,,,,,,,,,
232,00:19:15,1155.1,349,312,186,273,,,,,,,,,
233,00:19:20,1160.1,349,312,186,273,,,,,,,,,
234,00:19:25,1165.1,349,312,186,273,,,,,,,,,
235,00:19:30,1170.1,349,312,186,273,,,,,,,,,
236,00:19:35,1175.1,349,312,186,273,,,,,,,,,
237,00:19:40,1180.1,349,312,186,273,,,,,,,,,
238,00:19:45,1185.1,349,312,186,273,,,,,,,,,
239,00:19:50,1190.1,349,312,186,273,,,,,,,,,
240,00:19:55,1195.1,349,312,186,273,,,,,,,,,
241,00:20:00,1200.1,349,312,186,273,,,,,,,,,
242,00:20:05,1205.1,349,312,186,273,,,,,,,,,
243,00:20:10,1210.1,349,312,186,273,,,,,,,,,
244,00:20:15,1215.1,349,312,186,273,,,,,,,,,
245,00:20:20,1220.1,349,312,186,273,,,,,,,,,
246,00:20:25,1225.1,349,312,186,273,,,,,,,,,
247,00:20:30,1230.1,349,312,186,273,,,,,,,,,
248,00:20:35,1235.1,349,312,186,273,,,,,,,,,
249,00:20:40,1240.1,349,312,186,273,,,,,,,,,
250,00:20:45,1245.1,349,312,186,273,,,,,,,,,
251,00:20:50,1250.1,349,312,186,273,,,,,,,,,
252,00:20:55,1255.1,349,312,186,273,,,,,,,,,
253,00:21:00,1260.1,349,312,186,273,,,,,,,,,
254,00:21:05,1265.1,349,312,186,262,,,,,,,,,
255,00:21:10,1270.1,349,312,186,262,,,,,,,,,
256,00:21:15,1275.1,349,312,186,262,,,,,,,,,
257,00:21:20,1280.1,349,312,186,262,,,,,,,,,
258,00:21:25,1285.1,349,312,186,262,,,,,,,,,
259,00:21:30,1290.1,349,312,186,262,,,,,,,,,
260,00:21:35,1295.1,349,302,186,262,,,,,,,,,
261,00:21:40,1300.1,349,302,186,262,,,,,,,,,
262,00:21:45,1305.1,349,302,186,262,,,,,,,,,
263,00:21:50,1310.1,338,302,186,262,,,,,,,,,
264,00:21:55,1315.1,338,302,186,262,,,,,,,,,
265,00:22:00,1320.1,338,302,186,262,,,,,,,,,
266,00:22:05,1325.1,338,302,186,262,,,,,,,,,
267,00:22:10,1330.1,338,302,186,262,,,,,,,,,
268,00:22:15,1335.1,338,302,186,262,,,,,,,,,
269,00:22:20,1340.1,338,302,186,262,,,,,,,,,
270,00:22:25,1345.1,338,302,186,262,,,,,,,,,
271,00:22:30,1350.1,338,302,186,262,,,,,,,,,
272,00:22:35,1355.1,338,302,186,262,,,,,,,,,
273,00:22:40,1360.1,338,302,186,262,,,,,,,,,
274,00:22:45,1365.1,338,302,186,262,,,,,,,,,
275,00:22:50,1370.1,338,302,186,262,,,,,,,,,
276,00:22:55,1375.1,338,302,186,262,,,,,,,,,
277,00:23:00,1380.1,338,302,186,262,,,,,,,,,
278,00:23:05,1385.1,338,302,186,262,,,,,,,,,
279,00:23:10,1390.1,338,302,186,262,,,,,,,,,
280,00:23:15,1395.1,338,302,186,262,,,,,,,,,
281,00:23:20,1400.1,338,302,186,262,,,,,,,,,
282,00:23:25,1405.1,338,302,186,262,,,,,,,,,
283,00:23:30,1410.1,338,302,186,262,,,,,,,,,
284,00:23:35,1415.1,338,302,186,262,,,,,,,,,
285,00:23:40,1420.1,338,302,186,262,,,,,,,,,
286,00:23:45,1425.1,338,302,186,262,,,,,,,,,
287,00:23:50,1430.1,338,302,186,262,,,,,,,,,
288,00:23:55,1435.1,338,302,186,262,,,,,,,,,
289,00:24:00,1440.1,338,302,186,262,,,,,,,,,
290,00:24:05,1445.1,338,302,186,262,,,,,,,,,
291,00:24:10,1450.1,338,302,186,262,,,,,,,,,
292,00:24:15,1455.1,338,302,186,262,,,,,,,,,
293,00:24:20,1460.1,338,302,186,262,,,,,,,,,
294,00:24:25,1465.1,338,302,186,262,,,,,,,,,
295,00:24:30,1470.1,338,302,186,262,,,,,,,,,
296,00:24:35,1475.1,338,302,186,262,,,,,,,,,
297,00:24:40,1480.1,338,302,186,262,,,,,,,,,
298,00:24:45,1485.1,338,302,186,262,,,,,,,,,
299,00:24:50,1490.1,338,302,186,262,,,,,,,,,
300,00:24:55,1495.1,338,302,186,262,,,,,,,,,
301,00:25:00,1500.1,338,302,186,262,,,,,,,,,
302,00:25:05,1505.1,338,302,186,262,,,,,,,,,
303,00:25:10,1510.1,338,302,186,262,,,,,,,,,
304,00:25:15,1515.1,338,302,186,262,,,,,,,,,
305,00:25:20,1520.1,338,302,186,262,,,,,,,,,
306,00:25:25,1525.1,338,302,186,262,,,,,,,,,
307,00:25:30,1530.1,338,302,186,262,,,,,,,,,
308,00:25:35,1535.1,338,302,186,262,,,,,,,,,
309,00:25:40,1540.1,338,302,186,262,,,,,,,,,
310,00:25:45,1545.1,338,302,186,262,,,,,,,,,
311,00:25:50,1550.1,338,302,186,262,,,,,,,,,
312,00:25:55,1555.1,338,302,186,262,,,,,,,,,
313,00:26:00,1560.1,338,302,186,262,,,,,,,,,
314,00:26:05,1565.1,338,302,186,262,,,,,,,,,
315,00:26:10,1570.1,338,302,186,262,,,,,,,,,
316,00:26:15,1575.1,338,302,186,262,,,,,,,,,
317,00:26:20,1580.1,338,302,186,262,,,,,,,,,
318,00:26:25,1585.1,338,302,176,262,,,,,,,,,
319,00:26:30,1590.1,338,302,176,262,,,,,,,,,
320,00:26:35,1595.1,338,302,176,262,,,,,,,,,
321,00:26:40,1600.1,338,302,176,262,,,,,,,,,
322,00:26:45,1605.1,338,302,176,262,,,,,,,,,
323,00:26:50,1610.1,338,302,176,262,,,,,,,,,
324,00:26:55,1615.1,338,302,176,262,,,,,,,,,
325,00:27:00,1620.1,338,302,176,262,,,,,,,,,
326,00:27:05,1625.1,338,302,176,262,,,,,,,,,
327,00:27:10,1630.1,338,302,176,262,,,,,,,,,
328,00:27:15,1635.1,338,302,176,262,,,,,,,,,
329,00:27:20,1640.1,338,302,176,262,,,,,,,,,
330,00:27:25,1645.1,338,302,176,262,,,,,,,,,
331,00:27:30,1650.1,338,302,176,262,,,,,,,,,
332,00:27:35,1655.1,338,302,176,262,,,,,,,,,
333,00:27:40,1660.1,338,302,176,262,,,,,,,,,
334,00:27:45,1665.1,338,302,176,262,,,,,,,,,
335,00:27:50,1670.1,338,302,176,262,,,,,,,,,
336,00:27:55,1675.1,338,302,176,262,,,,,,,,,
337,00:28:00,1680.1,338,302,176,262,,,,,,,,,
338,00:28:05,1685.1,338,302,176,262,,,,,,,,,
339,00:28:10,1690.1,338,302,176,262,,,,,,,,,
340,00:28:15,1695.1,338,302,176,262,,,,,,,,,
341,00:28:20,1700.1,338,302,176,262,,,,,,,,,
342,00:28:25,1705.1,338,302,176,262,,,,,,,,,
343,00:28:30,1710.1,338,302,176,262,,,,,,,,,
344,00:28:35,1715.1,338,302,176,262,,,,,,,,,
345,00:28:40,1720.1,327,302,176,262,,,,,,,,,
346,00:28:45,1725.1,328,302,176,262,,,,,,,,,
347,00:28:50,1730.1,328,291,176,262,,,,,,,,,
348,00:28:55,1735.1,328,291,176,262,,,,,,,,,
349,00:29:00,1740.1,328,291,176,262,,,,,,,,,
350,00:29:05,1745.1,328,291,176,262,,,,,,,,,
351,00:29:10,1750.1,328,291,176,262,,,,,,,,,
352,00:29:15,1755.1,328,291,176,262,,,,,,,,,
353,00:29:20,1760.1,328,291,176,262,,,,,,,,,
354,00:29:25,1765.1,328,291,176,262,,,,,,,,,
355,00:29:30,1770.1,328,291,176,262,,,,,,,,,
356,00:29:35,1775.1,328,291,176,262,,,,,,,,,
357,00:29:40,1780.1,328,291,176,262,,,,,,,,,
358,00:29:45,1785.1,328,291,176,262,,,,,,,,,
359,00:29:50,1790.1,328,291,176,262,,,,,,,,,
360,00:29:55,1795.1,328,291,176,262,,,,,,,,,
361,00:30:00,1800.1,328,291,176,262,,,,,,,,,
362,00:30:05,1805.1,328,291,176,262,,,,,,,,,
363,00:30:10,1810.1,328,291,176,262,,,,,,,,,
364,00:30:15,1815.1,328,291,176,262,,,,,,,,,
365,00:30:20,1820.1,328,291,176,262,,,,,,,,,
366,00:30:25,1825.1,328,291,176,262,,,,,,,,,
367,00:30:30,1830.1,328,291,176,262,,,,,,,,,
368,00:30:35,1835.1,328,291,176,262,,,,,,,,,
369,00:30:40,1840.1,328,291,176,262,,,,,,,,,
370,00:30:45,1845.1,328,291,176,262,,,,,,,,,
371,00:30:50,1850.1,328,291,176,262,,,,,,,,,
372,00:30:55,1855.1,328,291,176,262,,,,,,,,,
373,00:31:00,1860.1,328,291,176,262,,,,,,,,,
374,00:31:05,1865.1,328,291,176,262,,,,,,,,,
375,00:31:10,1870.1,328,291,176,262,,,,,,,,,
376,00:31:15,1875.1,328,291,176,262,,,,,,,,,
377,00:31:20,1880.1,328,291,176,262,,,,,,,,,
378,00:31:25,1885.1,328,291,176,262,,,,,,,,,
379,00:31:30,1890.1,328,291,176,262,,,,,,,,,
380,00:31:35,1895.1,328,291,176,262,,,,,,,,,
381,00:31:40,1900.1,328,291,176,262,,,,,,,,,
382,00:31:45,1905.1,328,291,176,262,,,,,,,,,
383,00:31:50,1910.1,328,291,176,262,,,,,,,,,
384,00:31:55,1915.1,328,291,176,262,,,,,,,,,
385,00:32:00,1920.1,328,291,176,262,,,,,,,,,
386,00:32:05,1925.1,328,291,176,262,,,,,,,,,
387,00:32:10,1930.1,328,291,176,262,,,,,,,,,
388,00:32:15,1935.1,328,291,176,262,,,,,,,,,
389,00:32:20,1940.1,328,291,176,262,,,,,,,,,
390,00:32:25,1945.1,328,291,176,262,,,,,,,,,
391,00:32:30,1950.1,328,291,176,262,,,,,,,,,
392,00:32:35,1955.1,328,291,176,262,,,,,,,,,
393,00:32:40,1960.1,328,291,176,262,,,,,,,,,
394,00:32:45,1965.1,328,291,176,262,,,,,,,,,
395,00:32:50,1970.1,328,291,176,262,,,,,,,,,
