Time,Bar,Central_Column,Salad_Bar,Hot_Counter,Pizza_Counter
12/04/2022 21:22,524 ppm,367 ppm,369 ppm,365 ppm,362 ppm
12/04/2022 21:24,524 ppm,357 ppm,377 ppm,362 ppm,365 ppm
12/04/2022 21:26,524 ppm,363 ppm,364 ppm,366 ppm,363 ppm
12/04/2022 21:28,524 ppm,361 ppm,377 ppm,365 ppm,368 ppm
12/04/2022 21:30,524 ppm,361 ppm,370 ppm,361 ppm,358 ppm
12/04/2022 21:32,524 ppm,360 ppm,363 ppm,358 ppm,365 ppm
12/04/2022 21:34,524 ppm,359 ppm,368 ppm,359 ppm,365 ppm
12/04/2022 21:36,524 ppm,358 ppm,370 ppm,360 ppm,367 ppm
12/04/2022 21:38,524 ppm,361 ppm,360 ppm,359 ppm,363 ppm
12/04/2022 21:40,524 ppm,361 ppm,367 ppm,360 ppm,360 ppm
12/04/2022 21:42,524 ppm,363 ppm,360 ppm,359 ppm,357 ppm
12/04/2022 21:44,524 ppm,362 ppm,366 ppm,361 ppm,357 ppm
12/04/2022 21:46,524 ppm,357 ppm,364 ppm,368 ppm,360 ppm
12/04/2022 21:48,524 ppm,356 ppm,361 ppm,359 ppm,358 ppm
12/04/2022 21:50,524 ppm,363 ppm,363 ppm,366 ppm,365 ppm
12/04/2022 21:52,524 ppm,359 ppm,366 ppm,359 ppm,362 ppm
12/04/2022 21:54,524 ppm,363 ppm,368 ppm,366 ppm,366 ppm
12/04/2022 21:56,524 ppm,366 ppm,360 ppm,365 ppm,364 ppm
12/04/2022 21:58,524 ppm,358 ppm,373 ppm,368 ppm,362 ppm
12/04/2022 22:00,524 ppm,359 ppm,363 ppm,367 ppm,364 ppm
12/04/2022 22:02,524 ppm,358 ppm,380 ppm,366 ppm,364 ppm
12/04/2022 22:04,524 ppm,365 ppm,365 ppm,359 ppm,405 ppm
12/04/2022 22:06,524 ppm,379 ppm,367 ppm,361 ppm,436 ppm
12/04/2022 22:08,524 ppm,359 ppm,367 ppm,366 ppm,445 ppm
12/04/2022 22:10,524 ppm,359 ppm,368 ppm,367 ppm,493 ppm
12/04/2022 22:12,524 ppm,361 ppm,374 ppm,359 ppm,509 ppm
12/04/2022 22:14,524 ppm,359 ppm,365 ppm,365 ppm,466 ppm
